Subject,Drug,Treatment,Trial,Type,TimeNearStimulus,AbsoluteTurnAngle,Speed,Freezing
PC7,pCPA,CTRL,9,0,28.029022310365,26.1220668860074,8.61158695527793,8
PC7,pCPA,CTRL,10,1,30.0106491406637,24.8563043163527,4.24599192260414,3
PC7,pCPA,CTRL,11,0,16.2862886924169,21.3835822872192,6.33826258942961,1
PC7,pCPA,CTRL,12,1,12.7253533928942,30.539297892829,6.51826776694698,2
PC7,pCPA,CTRL,13,0,5.29472159823471,31.3282910712118,2.39727585714221,1
PC7,pCPA,CTRL,14,1,28.8393898515338,33.8366229494584,5.35705776052709,9
PC7,pCPA,CTRL,15,0,29.2954203945602,17.0295949124399,1.42554694207755,10
PC7,pCPA,CTRL,16,1,12.6070146374088,19.9167674755789,2.57218848385119,2
PC7,pCPA,CTRL,17,0,26.8782592053339,18.9688760444764,7.61506698171236,6
PC7,pCPA,CTRL,18,1,25.0116493374111,10.6370946393705,4.89361171337953,3
PC7,pCPA,CTRL,19,0,3.66192458062783,12.6400056115597,5.09981774688075,9
PC7,pCPA,CTRL,20,1,24.2166695988636,22.2224696187625,8.44012832777627,5
PC8,pCPA,CTRL,1,0,7.33996306027019,8.48368167431978,3.53139277754915,1
PC8,pCPA,CTRL,2,0,3.56597867788962,23.7079932334432,3.44023970902758,5
PC8,pCPA,CTRL,3,0,16.9679249753408,11.6341563225858,2.39450445664096,8
PC8,pCPA,CTRL,4,1,39.6729416084305,31.591498926926,1.40689340661938,8
PC8,pCPA,CTRL,5,0,23.7839074239202,15.9570948444204,7.13400600335648,6
PC8,pCPA,CTRL,6,1,18.6541898724549,26.2709350108795,6.02560495250895,1
PC8,pCPA,CTRL,7,0,15.9865025988714,8.28666531229057,6.00893031442692,4
PC8,pCPA,CTRL,8,1,14.6088700733507,30.366957233214,1.15353956277857,2
PC8,pCPA,CTRL,9,0,29.6864178870963,17.0780111896307,3.33739326707767,5
PC8,pCPA,CTRL,10,1,15.3778627285151,27.1792103543342,2.5125400006711,10
PC8,pCPA,CTRL,11,0,23.6548221763481,12.4669042183291,3.50871314982208,4
PC8,pCPA,CTRL,12,1,32.0608798701138,21.6368444558922,6.3305167472485,3
PC8,pCPA,CTRL,13,0,4.37653618346815,16.2771840874028,5.31073004740806,10
PC8,pCPA,CTRL,14,1,20.9409578185537,8.18127271200766,8.99861484418487,2
PC8,pCPA,CTRL,15,0,9.38367969375086,27.5601098094436,2.14965924643651,0
PC8,pCPA,CTRL,16,1,15.2332653855902,12.6984867938593,4.46143803339824,0
PC8,pCPA,CTRL,17,0,8.95778506805898,33.7600742476322,3.61902636163182,7
PC8,pCPA,CTRL,18,1,15.1485073517361,33.5360213886651,7.24068176637987,5
PC8,pCPA,CTRL,19,0,7.28603686596764,20.8924758746516,5.61956097780657,0
PC8,pCPA,CTRL,20,1,12.9968151200702,25.1483473956942,5.15119173395439,9
PC9,pCPA,CTRL,1,0,15.5405533098496,29.1193171929179,2.03285880393359,3
PC9,pCPA,CTRL,2,0,22.7925524524013,23.3220173909884,5.80709888909509,2
PC9,pCPA,CTRL,3,0,27.1647800884424,32.7444471499392,7.61974130860369,0
PC9,pCPA,CTRL,4,1,30.5661842719371,16.6691502717918,7.30526759674476,4
PC9,pCPA,CTRL,5,0,4.16632912000682,25.5945273320743,4.87738307255052,0
PC9,pCPA,CTRL,6,1,19.1627563249896,18.7276378196258,5.09978347284313,1
PC9,pCPA,CTRL,7,0,1.91068875598921,21.1742989783071,5.46414581215325,3
PC9,pCPA,CTRL,8,1,33.5240401236936,29.8355833419009,2.04838273551978,4
