"Sujeito","Droga","Tratamento","Tipo","Rproj","Angulo"
"PS7","pCPA","SA","ON",0.467082793876703,189.798089085853
"PS8","pCPA","SA","OFF",0.537595505010132,353.588668298305
"PS8","pCPA","SA","ON",0.383607656709118,188.231667919456
"PS9","pCPA","SA","OFF",-0.0781296956854071,53.3848784438956
"PS9","pCPA","SA","ON",0.967376511583129,188.789210646432
"PS10","pCPA","SA","OFF",-0.0197399508201346,41.4735128929022
"PS10","pCPA","SA","ON",0.70763813318019,182.116388800142
"PS11","pCPA","SA","OFF",-0.373960179216009,39.3669867545204
"PS11","pCPA","SA","ON",0.11566758748186,186.297872850474
"PS12","pCPA","SA","OFF",0.531255700867303,140.186253547543
"PS12","pCPA","SA","ON",0.03239249988193,206.952026938498
"CC1","VEH","CTRL","OFF",0.487574518371339,124.18111378183
"CC1","VEH","CTRL","ON",0.342503530458826,208.928538090896
"CC2","VEH","CTRL","OFF",-0.363150859049817,3.06292412994302
"CC2","VEH","CTRL","ON",0.790182389059815,187.991183416114
"CC3","VEH","CTRL","OFF",0.229342863571796,318.789339100554
"CC3","VEH","CTRL","ON",0.770448477782401,212.754457644292
"CC4","VEH","CTRL","OFF",0.0523067076214738,12.4583503897954
"CC4","VEH","CTRL","ON",0.652329759914833,151.329160688419
"CC5","VEH","CTRL","OFF",0.0382918681395227,182.762086922563
"CC5","VEH","CTRL","ON",0.660290288574679,147.00962253921
"CC6","VEH","CTRL","OFF",-0.146475258858179,57.197927276246
"CC6","VEH","CTRL","ON",0.490262364319307,174.842808191626
"CC7","VEH","CTRL","OFF",-0.276251878681917,229.405329300101
"CC7","VEH","CTRL","ON",0.385906186178304,169.551523324794
"CC8","VEH","CTRL","OFF",0.269420310853226,134.264785690997
"CC8","VEH","CTRL","ON",0.322711648630752,154.898705268166
"CC9","VEH","CTRL","OFF",-0.161430547062548,139.959892547294
"CC9","VEH","CTRL","ON",0.589765835239278,159.437510036617
"CC10","VEH","CTRL","OFF",0.261858760515935,324.952195179015
"CC10","VEH","CTRL","ON",0.24881118653962,179.553326959837
"CC11","VEH","CTRL","OFF",0.0255845094280255,308.312262275855
"CC11","VEH","CTRL","ON",0.835415047010454,158.902378411051
"CC12","VEH","CTRL","OFF",-0.0153603141885715,215.235799776438
"CC12","VEH","CTRL","ON",0.396771204170855,142.271871513408
"CS1","VEH","SA","OFF",-0.362770822239188,50.8571614786132
"CS1","VEH","SA","ON",-0.774988160865746,50.0112696844271
"CS2","VEH","SA","OFF",0.394524645631624,146.59318829661
"CS2","VEH","SA","ON",-0.597909758145326,4.71716342238488
"CS3","VEH","SA","OFF",0.19222469263698,204.37091581679
"CS3","VEH","SA","ON",0.188353698032048,353.486796271076
"CS4","VEH","SA","OFF",0.13406300244491,81.45942954351
"CS4","VEH","SA","ON",-0.244506230159494,244.595236267715
"CS5","VEH","SA","OFF",0.29449173800038,0.638909090102394
"CS5","VEH","SA","ON",-0.63028013274977,341.59909456057
"CS6","VEH","SA","OFF",0.587030334190627,8.79540309722412
"CS6","VEH","SA","ON",-0.125203784970058,41.7436240877955
"CS7","VEH","SA","OFF",-0.513975710328239,182.584972321377
"CS7","VEH","SA","ON",-0.792144366198422,292.066083564162
"CS8","VEH","SA","OFF",0.101660458144501,153.953808645003
"CS8","VEH","SA","ON",-0.40771747331292,41.7021250977615
"CS9","VEH","SA","OFF",0.732104823903569,326.435745057368
"CS9","VEH","SA","ON",-0.241129055447389,281.616763544619
"CS10","VEH","SA","OFF",0.33358523266146,52.9071301318997
"CS10","VEH","SA","ON",1.0,297.519164803793
"CS11","VEH","SA","OFF",0.588132086535654,54.2026771538772
"CS11","VEH","SA","ON",-0.544237220816206,52.3898219020232
"CS12","VEH","SA","OFF",0.78947738607031,240.661169448258
"CS12","VEH","SA","ON",-0.20881225510647,19.2425186911135
