Treatment,Dose,Time_On_Top,Time_On_Bottom,AbsoluteTurnAngle,Speed,Freezing
CAS,2.5,199.7754,103.2246,22.5418544482381,6.79268576224245,4
CAS,2.5,0.9813,349.0187,49.4649412634377,4.11472056945395,40
CAS,2.5,0.2338,353.7662,16.0411956407134,7.46980825054963,55
CAS,2.5,117.7793,206.2207,9.83919843831084,7.11515925195338,50
CAS,25,43.6305,316.3695,44.2665140850422,3.81815442958507,91
CAS,25,9.3797,350.6203,49.910372610501,3.09311202482806,69
CAS,25,36.0481,323.9519,25.4141208172609,9.41793826904921,46
CAS,25,41.5862,318.4138,17.0603438271824,2.67875823270237,69
CAS,25,51.9841,308.0159,31.731990124474,6.49110343257401,47
CAS,25,50.0058,309.9942,50.8754731159939,11.2939917108093,96
CAS,25,21.0069,338.9931,40.7801884950135,13.6159494152408,82
CAS,25,33.7068,326.2932,3.16174630823958,9.24916324018274,41
CAS,25,16.1504,343.8496,19.2733255453107,1.15476556132093,39
CAS,25,53.0161,306.9839,31.0008387470518,11.7057171508836,43
CAS,25,57.4393,302.5607,9.50067328859413,11.6919919392243,96
CAS,25,24.2662,335.7338,39.9599970518027,6.73481629103264,74
CAS,25,15.128,344.872,17.7105815937366,2.92448478525758,95
CAS,25,55.93,304.07,51.599983700053,3.90606378959912,42
CAS,25,2.4252,357.5747,36.9797930914449,11.5834800721386,71
